swiperight,483,504,612
swiperight,489,506,620
swiperight,491,510,622
swiperight,494,510,620
swiperight,495,510,622
swiperight,494,510,626
swiperight,494,510,630
swiperight,492,510,632
swiperight,488,510,632
swiperight,484,510,632
swiperight,478,508,634
swiperight,472,506,638
swiperight,466,506,640
swiperight,462,504,642
swiperight,460,502,640
swiperight,459,502,640
swiperight,459,504,640
swiperight,459,504,640
swiperight,459,506,640
swiperight,462,508,638
swiperight,465,510,636
swiperight,467,510,634
swiperight,469,512,636
swiperight,469,512,636
swiperight,469,514,634
swiperight,467,512,636
swiperight,463,512,636
swiperight,460,512,640
swiperight,459,510,642
swiperight,457,512,642
swiperight,458,512,640
swiperight,458,512,638
swiperight,458,512,638
swiperight,458,512,634
swiperight,459,512,628
swiperight,460,514,624
swiperight,463,516,618
swiperight,467,518,616
swiperight,471,518,614
swiperight,475,518,612
swiperight,481,520,608
swiperight,486,522,604
swiperight,492,524,602
swiperight,496,526,600
swiperight,501,526,598
swiperight,506,528,598
swiperight,511,534,596
swiperight,513,536,596
swiperight,517,536,596
swiperight,518,532,600
swiperight,518,528,602
swiperight,516,526,606
swiperight,516,526,608
swiperight,517,524,608
swiperight,520,524,606
swiperight,525,526,602
swiperight,531,528,600
swiperight,538,530,598
swiperight,548,534,596
swiperight,557,536,594
swiperight,565,538,592
swiperight,574,540,592
swiperight,580,540,594
swiperight,586,538,596
swiperight,591,536,600
swiperight,596,534,600
swiperight,598,532,600
swiperight,598,532,598
swiperight,597,530,594
swiperight,595,530,588
swiperight,594,528,584
swiperight,593,526,584
swiperight,594,526,586
swiperight,600,524,578
swiperight,607,516,566
swiperight,601,526,602
swiperight,605,534,610
swiperight,613,530,598
swiperight,617,524,594
swiperight,621,522,592
swiperight,639,520,592
swiperight,643,520,596
swiperight,643,520,598
swiperight,642,520,598
swiperight,641,520,598
swiperight,632,520,590
swiperight,627,516,588
swiperight,623,512,586
swiperight,620,510,586
swiperight,608,512,592
swiperight,603,510,592
swiperight,602,512,592
swiperight,600,510,592
swiperight,597,514,602
swiperight,593,516,602
swiperight,591,516,598
swiperight,590,516,594
swiperight,588,518,592
swiperight,583,520,592
swiperight,580,522,594
swiperight,577,522,596
swiperight,576,526,598
swiperight,577,530,596
swiperight,578,534,596
swiperight,579,538,596
swiperight,576,538,596
swiperight,571,538,600
swiperight,564,538,602
swiperight,559,538,610
swiperight,551,536,618
swiperight,544,534,630
swiperight,536,532,644
swiperight,525,528,654
swiperight,515,522,658
swiperight,504,516,654
swiperight,494,510,640
swiperight,494,504,616
swiperight,496,500,596
swiperight,494,500,588
swiperight,484,504,582
swiperight,476,504,580
swiperight,475,504,582
swiperight,482,508,590
swiperight,498,512,592
swiperight,511,516,594
swiperight,514,520,604
swiperight,515,520,612
swiperight,513,518,622
swiperight,510,514,638
